City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
604,Ailigandi,PA,76.66,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
606,Podor,MR,84.4,broken clouds,16.6527,-14.9587,Auberge Du Tékrour
608,Ransang,PH,85.71,broken clouds,8.9603,117.5828,Black and Crystal Sand Campsite
609,Isangel,VU,79.48,clear sky,-19.55,169.2667,Tanna Lodge
612,Kavaratti,IN,80.76,overcast clouds,10.5669,72.642,Green leaf
614,Conakry,GN,75.27,broken clouds,9.538,-13.6773,Riviera Royal Hotel
619,Sibolga,ID,83.95,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
620,Khash,IR,81.9,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
621,Khandwa,IN,82.08,broken clouds,21.8333,76.3333,Hotel Grand Barrack
625,Bajil,YE,89.08,broken clouds,15.0584,43.2851,فندق حضرموت
626,Dicamay,PH,87.67,broken clouds,16.7561,122.0037,
627,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
629,Akyab,MM,82.27,broken clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
634,Kieta,PG,81.52,moderate rain,-6.2167,155.6333,Uruna Bay Retreat
635,Jieshou,CN,85.78,few clouds,33.2634,115.3611,Vatica Jieshou City New Passenger Transport Center Hotel
636,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
645,Mataram,ID,86.81,scattered clouds,-8.5833,116.1167,Hotel Santika Mataram
646,Siocon,PH,88.09,broken clouds,7.7061,122.1353,ABS Hotel
648,Micheweni,TZ,77.92,few clouds,-4.9667,39.8333,
649,Brawley,US,84.81,clear sky,32.9787,-115.5303,Brawley Inn Hotel & Conference Center
651,Carutapera,BR,75.81,overcast clouds,-1.195,-46.02,Lidera
652,Damietta,EG,75.72,clear sky,31.4165,31.8133,SULIMAN INN
654,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
655,Nortelandia,BR,80.94,broken clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
657,Gold Coast,AU,85.77,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
659,Woodward,US,79.83,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
660,Fort-Shevchenko,KZ,77.38,clear sky,44.5086,50.263,Oasis hotel Bautino
