City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Palghar,IN,2022-09-17 05:16:38,19.6833,72.75,80.85,80,97,8.37
68,Cherskiy,RU,2022-09-17 05:16:38,68.75,161.3,37.87,68,94,18.41
69,New Norfolk,AU,2022-09-17 05:16:39,-42.7826,147.0587,58.5,75,100,4.0
70,Kirovskiy,RU,2022-09-17 05:16:39,45.0917,133.5136,58.57,98,100,4.56
71,Kapaa,US,2022-09-17 05:15:11,22.0752,-159.319,82.38,79,20,9.22
72,Laguna,US,2022-09-17 05:16:40,38.421,-121.4238,71.46,60,0,8.05
73,Kavieng,PG,2022-09-17 05:16:40,-2.5744,150.7967,85.23,62,28,11.52
74,Lazaro Cardenas,MX,2022-09-17 05:16:41,17.9583,-102.2,78.37,88,92,3.11
75,Umm Kaddadah,SD,2022-09-17 05:16:41,13.6017,26.6876,76.69,61,100,5.7
76,Moyo,UG,2022-09-17 05:16:42,3.6609,31.7247,66.43,93,61,0.36
77,Hobart,AU,2022-09-17 05:13:59,-42.8794,147.3294,58.86,67,75,17.27
78,Punta Arenas,CL,2022-09-17 05:16:29,-53.15,-70.9167,39.31,81,75,14.97
79,Arraial Do Cabo,BR,2022-09-17 05:16:43,-22.9661,-42.0278,60.66,94,75,4.61
80,Pundaguitan,PH,2022-09-17 05:16:43,6.3711,126.1689,84.58,71,100,11.36
81,Barcelos,PT,2022-09-17 05:16:44,41.5388,-8.6151,69.91,90,81,3.18
82,Buin,CL,2022-09-17 05:16:44,-33.7333,-70.75,54.73,96,100,1.03
83,Port Alfred,ZA,2022-09-17 05:15:08,-33.5906,26.891,59.18,89,99,3.0
84,Ostrovnoy,RU,2022-09-17 05:16:45,68.0531,39.5131,49.86,95,100,9.01
85,Boguchany,RU,2022-09-17 05:16:45,58.3814,97.4531,50.56,69,93,6.13
86,Kaitangata,NZ,2022-09-17 05:16:46,-46.2817,169.8464,50.7,65,23,4.9
87,Airai,TL,2022-09-17 05:16:46,-8.9266,125.4092,82.27,23,50,4.09
88,Khatanga,RU,2022-09-17 05:16:47,71.9667,102.5,29.79,91,76,14.81
89,Haines Junction,CA,2022-09-17 05:16:47,60.7522,-137.5108,33.75,86,6,2.3
90,Vrede,ZA,2022-09-17 05:16:48,-27.4257,29.1659,57.22,40,0,3.09
91,Coruripe,BR,2022-09-17 05:16:48,-10.1256,-36.1756,71.46,82,5,6.24
92,Hilo,US,2022-09-17 05:16:49,19.7297,-155.09,79.29,81,75,3.44
93,Havoysund,NO,2022-09-17 05:17:49,70.9963,24.6622,46.63,91,100,28.59
94,Vao,NC,2022-09-17 05:17:50,-22.6667,167.4833,71.17,72,65,17.52
95,Nanortalik,GL,2022-09-17 05:17:49,60.1432,-45.2371,47.03,90,100,5.99
96,Singkang,MY,2022-09-17 05:17:50,2.1006,102.7994,88.02,59,56,5.1
97,Coquimbo,CL,2022-09-17 05:17:51,-29.9533,-71.3436,53.33,87,100,3.44
98,Kiruna,SE,2022-09-17 05:17:52,67.8557,20.2251,40.12,100,100,10.36
99,San Andres,CO,2022-09-17 05:17:52,12.5847,-81.7006,78.82,100,75,4.61
100,Guiratinga,BR,2022-09-17 05:17:52,-16.3494,-53.7583,74.07,54,21,2.82
101,Prince Rupert,CA,2022-09-17 05:17:53,54.3161,-130.3201,55.09,85,100,8.05
102,Channel-Port Aux Basques,CA,2022-09-17 05:17:53,47.5702,-59.1367,54.09,83,93,24.74
103,Cape Town,ZA,2022-09-17 05:14:03,-33.9258,18.4232,56.26,84,40,1.14
104,Melfort,CA,2022-09-17 05:17:54,52.8667,-104.6177,48.33,81,91,4.61
105,Bakel,SN,2022-09-17 05:17:54,14.905,-12.4568,77.76,81,100,6.67
106,Iqaluit,CA,2022-09-17 05:17:55,63.7506,-68.5145,38.93,86,40,2.3
107,Aitape,PG,2022-09-17 05:17:55,-3.1374,142.3475,84.06,73,42,6.76
108,Shubarshi,KZ,2022-09-17 05:17:56,48.5872,57.1869,64.22,70,98,5.73
109,Los Llanos De Aridane,ES,2022-09-17 05:17:56,28.6585,-17.9182,71.35,76,0,10.36
110,Karasburg,NA,2022-09-17 05:17:57,-28.0167,18.75,67.98,37,100,9.51
111,Port-Cartier,CA,2022-09-17 05:17:57,50.0334,-66.8654,46.74,66,82,13.6
112,Padang,ID,2022-09-17 05:17:58,-0.9492,100.3543,84.25,74,74,5.66
113,Korla,CN,2022-09-17 05:17:58,41.7597,86.1469,78.12,16,8,4.79
114,Mandera,KE,2022-09-17 05:17:59,3.9366,41.867,77.14,57,14,14.5
115,Pevek,RU,2022-09-17 05:17:59,69.7008,170.3133,34.95,82,100,18.43
116,Takoradi,GH,2022-09-17 05:17:59,4.8845,-1.7554,73.4,94,84,5.61
117,Beringovskiy,RU,2022-09-17 05:18:00,63.05,179.3167,45.46,93,100,16.44
118,Cabo San Lucas,MX,2022-09-17 05:18:00,22.8909,-109.9124,86.05,76,2,10.25
119,Saint-Joseph,RE,2022-09-17 05:18:01,-21.3667,55.6167,73.78,73,22,14.63
120,Erenhot,CN,2022-09-17 05:18:01,43.6475,111.9767,61.7,28,0,21.52
121,Salo,IT,2022-09-17 05:18:02,45.6086,10.531,66.18,87,81,5.79
122,Nimaparha,IN,2022-09-17 05:18:02,20.0667,86.0167,91.8,55,99,8.55
123,San Policarpo,PH,2022-09-17 05:18:02,12.1791,125.5072,88.14,64,95,7.58
124,Kununurra,AU,2022-09-17 05:18:03,-15.7667,128.7333,100.38,10,40,9.22
125,Urumqi,CN,2022-09-17 05:14:01,43.801,87.6005,65.35,21,0,8.95
126,Ponta Do Sol,PT,2022-09-17 05:18:04,32.6667,-17.1,73.71,74,21,9.42
127,Deder,ET,2022-09-17 05:18:04,9.3167,41.45,59.45,73,48,8.41
128,Yatou,CN,2022-09-17 05:18:05,37.15,122.3833,75.33,69,2,8.37
129,Meulaboh,ID,2022-09-17 05:18:05,4.1363,96.1285,84.11,66,91,4.65
130,Avarua,CK,2022-09-17 05:18:06,-21.2078,-159.775,75.25,73,40,13.8
131,La Asuncion,VE,2022-09-17 05:18:06,11.0333,-63.8628,80.28,84,94,5.73
132,Mar Del Plata,AR,2022-09-17 05:18:07,-38.0023,-57.5575,57.09,92,0,20.0
133,Azovskaya,RU,2022-09-17 05:18:07,44.7908,38.6264,72.59,81,70,3.67
134,Mogadouro,PT,2022-09-17 05:14:39,41.3403,-6.7119,58.26,68,57,7.38
135,Shingu,JP,2022-09-17 05:16:31,33.7333,135.9833,78.91,93,100,16.73
136,Saint-Philippe,RE,2022-09-17 05:18:09,-21.3585,55.7679,74.79,80,42,15.84
137,Olinda,BR,2022-09-17 05:15:20,-8.0089,-34.8553,73.13,78,75,4.61
138,Zhaoyuan,CN,2022-09-17 05:19:09,37.3592,120.3964,78.8,60,8,3.67
139,Angoche,MZ,2022-09-17 05:19:10,-16.2325,39.9086,75.76,66,0,2.8
140,Port Hedland,AU,2022-09-17 05:19:10,-20.3167,118.5667,89.65,23,32,11.5
141,Gladstone,AU,2022-09-17 05:19:11,-23.85,151.25,69.73,78,75,6.91
142,Chokurdakh,RU,2022-09-17 05:16:30,70.6333,147.9167,38.7,62,94,2.71
143,Revelstoke,CA,2022-09-17 05:19:11,50.9832,-118.2023,50.02,100,75,2.3
